idx,t_rel_s,latency_s,status,ttft_s
158,61.8085,0.1657,ok,0.0100
159,61.8344,0.1596,ok,0.0107
160,61.8756,0.1572,ok,0.0114
161,62.0520,0.1939,ok,0.0103
162,62.0769,0.1915,ok,0.0103
163,62.1267,0.1869,ok,0.0105
164,62.1384,0.1825,ok,0.0158
165,62.1645,0.1789,ok,0.0124
166,62.2144,0.1754,ok,0.0100
167,62.2274,0.1697,ok,0.0109
168,62.3282,0.1724,ok,0.0099
169,62.3537,0.1669,ok,0.0107
170,62.4295,0.1671,ok,0.0119
171,62.4679,0.1552,ok,0.0109
172,62.6313,0.1851,ok,0.0148
173,62.6819,0.1973,ok,0.0137
174,62.6944,0.1887,ok,0.0100
175,62.7061,0.1827,ok,0.0097
176,62.7194,0.1786,ok,0.0116
177,62.7960,0.1838,ok,0.0109
178,62.8456,0.1761,ok,0.0109
179,62.8585,0.1688,ok,0.0095
180,62.8961,0.1752,ok,0.0100
181,62.9089,0.1757,ok,0.0106
182,63.0247,0.1926,ok,0.0111
183,63.0477,0.1924,ok,0.0108
184,63.1197,0.1824,ok,0.0108
185,63.1436,0.1833,ok,0.0119
186,63.1901,0.1895,ok,0.0115
187,63.2029,0.1825,ok,0.0105
188,63.2146,0.1763,ok,0.0106
189,63.3087,0.1846,ok,0.0107
190,63.3445,0.1924,ok,0.0106
191,63.3683,0.1855,ok,0.0096
192,63.3921,0.1799,ok,0.0114
193,63.4046,0.1728,ok,0.0115
194,63.4982,0.1814,ok,0.0112
195,63.5106,0.1745,ok,0.0113
196,63.5937,0.1862,ok,0.0102
197,63.6654,0.2000,ok,0.0106
198,63.6897,0.2002,ok,0.0103
199,63.7248,0.2100,ok,0.0130
200,63.7362,0.2007,ok,0.0100
201,63.7836,0.1946,ok,0.0095
202,63.8073,0.1897,ok,0.0103
203,63.8308,0.1831,ok,0.0095
204,63.8422,0.1790,ok,0.0117
205,63.8786,0.1706,ok,0.0094
206,63.8901,0.1709,ok,0.0096
207,63.9028,0.1715,ok,0.0112
208,64.0480,0.2269,ok,0.0105
209,64.0596,0.2211,ok,0.0111
210,64.0719,0.2146,ok,0.0103
211,64.0834,0.2088,ok,0.0105
212,64.1193,0.2032,ok,0.0095
213,64.1437,0.2054,ok,0.0117
214,64.1666,0.1975,ok,0.0177
215,64.1901,0.1882,ok,0.0097
216,64.2028,0.1905,ok,0.0102
217,64.2142,0.1848,ok,0.0104
218,64.2266,0.1797,ok,0.0113
219,64.3204,0.1758,ok,0.0117
220,64.3690,0.1813,ok,0.0108
221,64.3809,0.1748,ok,0.0106
222,64.4045,0.1675,ok,0.0098
223,64.4981,0.1886,ok,0.0135
224,64.5102,0.1809,ok,0.0101
225,64.6053,0.2039,ok,0.0105
226,64.6175,0.1973,ok,0.0097
227,64.6290,0.1914,ok,0.0098
228,64.6652,0.1844,ok,0.0101
229,64.6897,0.1781,ok,0.0105
230,64.7014,0.1719,ok,0.0108
231,64.7245,0.1702,ok,0.0186
232,64.8782,0.1545,ok,0.0095
233,64.9148,0.1478,ok,0.0101
234,65.0908,0.1873,ok,0.0114
235,65.1122,0.1824,ok,0.0104
236,65.1578,0.1883,ok,0.0106
