timestamp,batch_tokens
2026-06-09T05:07:01.668000,208
2026-06-09T05:07:01.825000,219
2026-06-09T05:07:01.984000,223
2026-06-09T05:07:02.153000,235
2026-06-09T05:07:02.320000,239
2026-06-09T05:07:02.491000,242
2026-06-09T05:07:02.662000,249
2026-06-09T05:07:02.819000,194
2026-06-09T05:07:02.981000,199
2026-06-09T05:07:03.144000,203
2026-06-09T05:07:03.308000,206
2026-06-09T05:07:03.475000,211
2026-06-09T05:07:03.629000,215
2026-06-09T05:07:03.788000,216
2026-06-09T05:07:03.946000,221
2026-06-09T05:07:04.103000,226
2026-06-09T05:07:04.270000,230
2026-06-09T05:07:04.438000,236
2026-06-09T05:07:04.603000,241
2026-06-09T05:07:04.770000,242
2026-06-09T05:07:04.950000,248
2026-06-09T05:07:05.095000,171
2026-06-09T05:07:05.242000,174
2026-06-09T05:07:05.393000,177
2026-06-09T05:07:05.545000,180
2026-06-09T05:07:05.692000,181
2026-06-09T05:07:05.845000,183
2026-06-09T05:07:05.994000,184
2026-06-09T05:07:06.141000,190
2026-06-09T05:07:06.306000,193
2026-06-09T05:07:06.466000,196
2026-06-09T05:07:06.623000,199
2026-06-09T05:07:06.780000,202
2026-06-09T05:07:06.938000,206
2026-06-09T05:07:07.094000,211
2026-06-09T05:07:07.247000,212
2026-06-09T05:07:07.405000,215
2026-06-09T05:07:07.564000,217
2026-06-09T05:07:07.720000,219
2026-06-09T05:07:07.878000,224
2026-06-09T05:07:08.040000,227
2026-06-09T05:07:08.207000,230
2026-06-09T05:07:08.371000,233
2026-06-09T05:07:08.536000,237
2026-06-09T05:07:08.705000,238
2026-06-09T05:07:08.877000,244
2026-06-09T05:07:09.043000,248
2026-06-09T05:07:09.219000,250
2026-06-09T05:07:09.384000,255
2026-06-09T05:07:09.513000,127
2026-06-09T05:07:09.652000,130
2026-06-09T05:07:09.790000,130
2026-06-09T05:07:09.939000,130
2026-06-09T05:07:10.080000,133
2026-06-09T05:07:10.217000,134
2026-06-09T05:07:10.357000,135
2026-06-09T05:07:10.498000,135
2026-06-09T05:07:10.638000,136
2026-06-09T05:07:10.776000,136
2026-06-09T05:07:10.923000,137
2026-06-09T05:07:11.063000,138
2026-06-09T05:07:11.204000,139
2026-06-09T05:07:11.348000,141
2026-06-09T05:07:11.492000,142
2026-06-09T05:07:11.633000,142
2026-06-09T05:07:11.774000,143
2026-06-09T05:07:11.924000,145
2026-06-09T05:07:12.068000,145
2026-06-09T05:07:12.207000,147
2026-06-09T05:07:12.351000,149
2026-06-09T05:07:12.494000,150
2026-06-09T05:07:12.638000,152
2026-06-09T05:07:12.784000,153
2026-06-09T05:07:12.934000,153
2026-06-09T05:07:13.081000,158
2026-06-09T05:07:13.223000,160
2026-06-09T05:07:13.367000,161
2026-06-09T05:07:13.512000,161
2026-06-09T05:07:13.655000,163
2026-06-09T05:07:13.800000,165
2026-06-09T05:07:13.953000,166
2026-06-09T05:07:14.099000,167
2026-06-09T05:07:14.242000,169
2026-06-09T05:07:14.393000,172
2026-06-09T05:07:14.546000,175
2026-06-09T05:07:14.696000,180
2026-06-09T05:07:14.846000,185
2026-06-09T05:07:14.993000,186
2026-06-09T05:07:15.137000,190
2026-06-09T05:07:15.282000,190
2026-06-09T05:07:15.447000,247
2026-06-09T05:07:15.609000,223
2026-06-09T05:07:15.779000,247
2026-06-09T05:07:15.938000,208
2026-06-09T05:07:16.093000,219
2026-06-09T05:07:16.254000,223
2026-06-09T05:07:16.426000,235
2026-06-09T05:07:16.585000,239
2026-06-09T05:07:16.753000,247
2026-06-09T05:07:16.944000,253
2026-06-09T05:07:17.101000,197
2026-06-09T05:07:17.263000,201
2026-06-09T05:07:17.435000,206
2026-06-09T05:07:17.593000,206
2026-06-09T05:07:17.752000,214
2026-06-09T05:07:17.914000,215
2026-06-09T05:07:18.080000,218
2026-06-09T05:07:18.237000,222
2026-06-09T05:07:18.408000,229
2026-06-09T05:07:18.574000,232
2026-06-09T05:07:18.738000,239
2026-06-09T05:07:18.911000,242
2026-06-09T05:07:19.078000,245
2026-06-09T05:07:19.250000,254
2026-06-09T05:07:19.395000,171
2026-06-09T05:07:19.541000,175
2026-06-09T05:07:19.692000,177
2026-06-09T05:07:19.837000,181
2026-06-09T05:07:19.991000,182
2026-06-09T05:07:20.141000,183
2026-06-09T05:07:20.287000,185
2026-06-09T05:07:20.440000,191
2026-06-09T05:07:20.600000,195
2026-06-09T05:07:20.757000,197
2026-06-09T05:07:20.914000,201
2026-06-09T05:07:21.083000,204
2026-06-09T05:07:21.243000,210
2026-06-09T05:07:21.401000,211
2026-06-09T05:07:21.556000,213
2026-06-09T05:07:21.717000,215
2026-06-09T05:07:21.875000,217
2026-06-09T05:07:22.031000,220
2026-06-09T05:07:22.198000,225
2026-06-09T05:07:22.368000,227
2026-06-09T05:07:22.529000,232
2026-06-09T05:07:22.698000,235
2026-06-09T05:07:22.870000,237
2026-06-09T05:07:23.051000,241
2026-06-09T05:07:23.227000,246
2026-06-09T05:07:23.400000,249
2026-06-09T05:07:23.591000,253
2026-06-09T05:07:23.759000,255
2026-06-09T05:07:23.896000,128
2026-06-09T05:07:24.041000,130
2026-06-09T05:07:24.181000,130
2026-06-09T05:07:24.325000,131
2026-06-09T05:07:24.467000,134
2026-06-09T05:07:24.606000,134
2026-06-09T05:07:24.743000,135
2026-06-09T05:07:24.883000,136
2026-06-09T05:07:25.029000,136
2026-06-09T05:07:25.171000,136
2026-06-09T05:07:25.316000,137
2026-06-09T05:07:25.463000,139
2026-06-09T05:07:25.605000,140
2026-06-09T05:07:25.745000,142
2026-06-09T05:07:25.886000,142
2026-06-09T05:07:26.028000,142
2026-06-09T05:07:26.174000,144
2026-06-09T05:07:26.320000,145
2026-06-09T05:07:26.460000,145
2026-06-09T05:07:26.601000,147
2026-06-09T05:07:26.743000,150
2026-06-09T05:07:26.885000,151
2026-06-09T05:07:27.033000,152
2026-06-09T05:07:27.177000,153
2026-06-09T05:07:27.318000,154
2026-06-09T05:07:27.460000,160
2026-06-09T05:07:27.610000,161
2026-06-09T05:07:27.752000,161
2026-06-09T05:07:27.897000,163
2026-06-09T05:07:28.050000,164
2026-06-09T05:07:28.197000,165
2026-06-09T05:07:28.340000,166
2026-06-09T05:07:28.484000,168
2026-06-09T05:07:28.630000,172
2026-06-09T05:07:28.773000,174
2026-06-09T05:07:28.926000,178
2026-06-09T05:07:29.074000,182
2026-06-09T05:07:29.218000,186
2026-06-09T05:07:29.364000,189
2026-06-09T05:07:29.511000,190
2026-06-09T05:07:29.687000,247
2026-06-09T05:07:29.852000,223
2026-06-09T05:07:30.021000,247
2026-06-09T05:07:30.179000,208
2026-06-09T05:07:30.334000,219
2026-06-09T05:07:30.489000,223
2026-06-09T05:07:30.648000,235
2026-06-09T05:07:30.834000,239
2026-06-09T05:07:30.997000,247
2026-06-09T05:07:31.166000,253
2026-06-09T05:07:31.330000,197
2026-06-09T05:07:31.488000,201
2026-06-09T05:07:31.645000,206
2026-06-09T05:07:31.811000,206
2026-06-09T05:07:31.967000,214
2026-06-09T05:07:32.124000,215
2026-06-09T05:07:32.292000,218
2026-06-09T05:07:32.452000,222
2026-06-09T05:07:32.610000,229
2026-06-09T05:07:32.780000,232
2026-06-09T05:07:32.947000,239
2026-06-09T05:07:33.115000,242
2026-06-09T05:07:33.293000,245
2026-06-09T05:07:33.456000,254
2026-06-09T05:07:33.600000,171
2026-06-09T05:07:33.751000,175
2026-06-09T05:07:33.901000,177
2026-06-09T05:07:34.053000,181
2026-06-09T05:07:34.205000,182
2026-06-09T05:07:34.351000,183
2026-06-09T05:07:34.495000,185
2026-06-09T05:07:34.645000,191
2026-06-09T05:07:34.806000,195
2026-06-09T05:07:34.970000,197
2026-06-09T05:07:35.132000,201
2026-06-09T05:07:35.294000,204
2026-06-09T05:07:35.453000,210
2026-06-09T05:07:35.607000,211
2026-06-09T05:07:35.770000,213
2026-06-09T05:07:35.927000,215
2026-06-09T05:07:36.082000,217
2026-06-09T05:07:36.248000,220
2026-06-09T05:07:36.408000,225
2026-06-09T05:07:36.564000,227
2026-06-09T05:07:36.727000,232
2026-06-09T05:07:36.894000,235
2026-06-09T05:07:37.064000,237
2026-06-09T05:07:37.247000,241
2026-06-09T05:07:37.413000,246
2026-06-09T05:07:37.580000,249
2026-06-09T05:07:37.757000,253
2026-06-09T05:07:37.922000,255
2026-06-09T05:07:38.065000,128
2026-06-09T05:07:38.221000,130
2026-06-09T05:07:38.366000,130
2026-06-09T05:07:38.509000,131
