timestamp,batch_tokens
2026-06-09T06:41:47.555000,219
2026-06-09T06:41:47.716000,221
2026-06-09T06:41:47.877000,225
2026-06-09T06:41:48.040000,235
2026-06-09T06:41:48.227000,242
2026-06-09T06:41:48.396000,249
2026-06-09T06:41:48.551000,194
2026-06-09T06:41:48.712000,199
2026-06-09T06:41:48.876000,203
2026-06-09T06:41:49.034000,206
2026-06-09T06:41:49.196000,211
2026-06-09T06:41:49.359000,215
2026-06-09T06:41:49.515000,216
2026-06-09T06:41:49.671000,221
2026-06-09T06:41:49.847000,226
2026-06-09T06:41:50.018000,230
2026-06-09T06:41:50.182000,236
2026-06-09T06:41:50.362000,241
2026-06-09T06:41:50.530000,242
2026-06-09T06:41:50.717000,248
2026-06-09T06:41:50.865000,171
2026-06-09T06:41:51.011000,174
2026-06-09T06:41:51.155000,177
2026-06-09T06:41:51.307000,180
2026-06-09T06:41:51.456000,181
2026-06-09T06:41:51.599000,183
2026-06-09T06:41:51.756000,184
2026-06-09T06:41:51.907000,190
2026-06-09T06:41:52.065000,193
2026-06-09T06:41:52.225000,196
2026-06-09T06:41:52.387000,199
2026-06-09T06:41:52.544000,202
2026-06-09T06:41:52.706000,206
2026-06-09T06:41:52.867000,211
2026-06-09T06:41:53.025000,212
2026-06-09T06:41:53.191000,215
2026-06-09T06:41:53.354000,217
2026-06-09T06:41:53.511000,219
2026-06-09T06:41:53.673000,224
2026-06-09T06:41:53.833000,227
2026-06-09T06:41:53.995000,230
2026-06-09T06:41:54.158000,233
2026-06-09T06:41:54.336000,237
2026-06-09T06:41:54.513000,238
2026-06-09T06:41:54.692000,244
2026-06-09T06:41:54.879000,248
2026-06-09T06:41:55.046000,250
2026-06-09T06:41:55.220000,255
2026-06-09T06:41:55.349000,127
2026-06-09T06:41:55.489000,130
2026-06-09T06:41:55.628000,130
2026-06-09T06:41:55.777000,130
2026-06-09T06:41:55.918000,133
2026-06-09T06:41:56.058000,134
2026-06-09T06:41:56.203000,135
2026-06-09T06:41:56.347000,135
2026-06-09T06:41:56.489000,136
2026-06-09T06:41:56.629000,136
2026-06-09T06:41:56.777000,137
2026-06-09T06:41:56.920000,138
2026-06-09T06:41:57.062000,139
2026-06-09T06:41:57.204000,141
2026-06-09T06:41:57.347000,142
2026-06-09T06:41:57.491000,142
2026-06-09T06:41:57.629000,143
2026-06-09T06:41:57.782000,145
2026-06-09T06:41:57.927000,145
2026-06-09T06:41:58.072000,147
2026-06-09T06:41:58.218000,149
2026-06-09T06:41:58.362000,150
2026-06-09T06:41:58.506000,152
2026-06-09T06:41:58.647000,153
2026-06-09T06:41:58.789000,153
2026-06-09T06:41:58.942000,158
2026-06-09T06:41:59.085000,160
2026-06-09T06:41:59.227000,161
2026-06-09T06:41:59.370000,161
2026-06-09T06:41:59.520000,163
2026-06-09T06:41:59.662000,165
2026-06-09T06:41:59.804000,166
2026-06-09T06:41:59.950000,167
2026-06-09T06:42:00.098000,169
2026-06-09T06:42:00.244000,172
2026-06-09T06:42:00.389000,175
2026-06-09T06:42:00.535000,180
2026-06-09T06:42:00.684000,185
2026-06-09T06:42:00.827000,186
2026-06-09T06:42:00.971000,190
2026-06-09T06:42:01.118000,190
2026-06-09T06:42:01.284000,247
2026-06-09T06:42:01.441000,223
2026-06-09T06:42:01.630000,247
2026-06-09T06:42:01.792000,208
2026-06-09T06:42:01.947000,219
2026-06-09T06:42:02.109000,223
2026-06-09T06:42:02.280000,235
2026-06-09T06:42:02.444000,239
2026-06-09T06:42:02.620000,247
2026-06-09T06:42:02.793000,253
2026-06-09T06:42:02.953000,197
2026-06-09T06:42:03.116000,201
2026-06-09T06:42:03.277000,206
2026-06-09T06:42:03.444000,206
2026-06-09T06:42:03.605000,214
2026-06-09T06:42:03.762000,215
2026-06-09T06:42:03.928000,218
2026-06-09T06:42:04.087000,222
2026-06-09T06:42:04.247000,229
2026-06-09T06:42:04.423000,232
2026-06-09T06:42:04.588000,239
2026-06-09T06:42:04.752000,242
2026-06-09T06:42:04.939000,245
2026-06-09T06:42:05.113000,254
2026-06-09T06:42:05.258000,171
2026-06-09T06:42:05.405000,175
2026-06-09T06:42:05.558000,177
2026-06-09T06:42:05.703000,181
2026-06-09T06:42:05.847000,182
2026-06-09T06:42:05.993000,183
2026-06-09T06:42:06.139000,185
2026-06-09T06:42:06.285000,191
2026-06-09T06:42:06.446000,195
2026-06-09T06:42:06.607000,197
2026-06-09T06:42:06.765000,201
2026-06-09T06:42:06.924000,204
2026-06-09T06:42:07.082000,210
2026-06-09T06:42:07.237000,211
2026-06-09T06:42:07.394000,213
2026-06-09T06:42:07.560000,215
2026-06-09T06:42:07.716000,217
2026-06-09T06:42:07.873000,220
2026-06-09T06:42:08.038000,225
2026-06-09T06:42:08.204000,227
2026-06-09T06:42:08.367000,232
2026-06-09T06:42:08.536000,235
2026-06-09T06:42:08.699000,237
2026-06-09T06:42:08.864000,241
2026-06-09T06:42:09.044000,246
2026-06-09T06:42:09.211000,249
2026-06-09T06:42:09.382000,253
2026-06-09T06:42:09.553000,255
2026-06-09T06:42:09.689000,128
2026-06-09T06:42:09.828000,130
2026-06-09T06:42:09.977000,130
2026-06-09T06:42:10.119000,131
2026-06-09T06:42:10.260000,134
2026-06-09T06:42:10.408000,134
2026-06-09T06:42:10.552000,135
2026-06-09T06:42:10.693000,136
2026-06-09T06:42:10.833000,136
2026-06-09T06:42:10.981000,136
2026-06-09T06:42:11.123000,137
2026-06-09T06:42:11.262000,139
2026-06-09T06:42:11.403000,140
2026-06-09T06:42:11.546000,142
2026-06-09T06:42:11.687000,142
2026-06-09T06:42:11.832000,142
2026-06-09T06:42:11.977000,144
2026-06-09T06:42:12.118000,145
2026-06-09T06:42:12.259000,145
2026-06-09T06:42:12.404000,147
2026-06-09T06:42:12.547000,150
2026-06-09T06:42:12.686000,151
2026-06-09T06:42:12.832000,152
2026-06-09T06:42:12.976000,153
2026-06-09T06:42:13.119000,154
2026-06-09T06:42:13.265000,160
2026-06-09T06:42:13.420000,161
2026-06-09T06:42:13.564000,161
2026-06-09T06:42:13.704000,163
2026-06-09T06:42:13.851000,164
2026-06-09T06:42:14.001000,165
2026-06-09T06:42:14.145000,166
2026-06-09T06:42:14.288000,168
2026-06-09T06:42:14.446000,172
2026-06-09T06:42:14.588000,174
2026-06-09T06:42:14.732000,178
2026-06-09T06:42:14.876000,182
2026-06-09T06:42:15.023000,186
2026-06-09T06:42:15.174000,189
2026-06-09T06:42:15.318000,190
2026-06-09T06:42:15.490000,247
2026-06-09T06:42:15.650000,223
2026-06-09T06:42:15.821000,247
2026-06-09T06:42:15.975000,208
2026-06-09T06:42:16.134000,219
2026-06-09T06:42:16.292000,223
2026-06-09T06:42:16.456000,235
2026-06-09T06:42:16.620000,239
2026-06-09T06:42:16.790000,247
2026-06-09T06:42:16.979000,253
2026-06-09T06:42:17.142000,197
2026-06-09T06:42:17.304000,201
2026-06-09T06:42:17.465000,206
2026-06-09T06:42:17.625000,206
2026-06-09T06:42:17.785000,214
2026-06-09T06:42:17.941000,215
2026-06-09T06:42:18.101000,218
2026-06-09T06:42:18.265000,222
2026-06-09T06:42:18.423000,229
2026-06-09T06:42:18.584000,232
2026-06-09T06:42:18.749000,239
2026-06-09T06:42:18.921000,242
2026-06-09T06:42:19.090000,245
2026-06-09T06:42:19.262000,254
2026-06-09T06:42:19.407000,171
2026-06-09T06:42:19.552000,175
2026-06-09T06:42:19.699000,177
2026-06-09T06:42:19.844000,181
2026-06-09T06:42:19.994000,182
2026-06-09T06:42:20.139000,183
2026-06-09T06:42:20.291000,185
2026-06-09T06:42:20.436000,191
2026-06-09T06:42:20.599000,195
