idx,t_rel_s,latency_s,status,ttft_s
158,61.8087,0.1644,ok,0.0103
159,61.8347,0.1604,ok,0.0123
160,61.8755,0.1491,ok,0.0111
161,62.0518,0.1922,ok,0.0126
162,62.0761,0.1885,ok,0.0115
163,62.1267,0.1827,ok,0.0100
164,62.1385,0.1782,ok,0.0124
165,62.1645,0.1767,ok,0.0108
166,62.2146,0.1767,ok,0.0120
167,62.2277,0.1690,ok,0.0106
168,62.3286,0.1733,ok,0.0109
169,62.3531,0.1666,ok,0.0111
170,62.4299,0.1594,ok,0.0109
171,62.4673,0.1486,ok,0.0110
172,62.6320,0.1803,ok,0.0122
173,62.6817,0.1956,ok,0.0119
174,62.6948,0.1880,ok,0.0103
175,62.7063,0.2116,ok,0.0103
176,62.7195,0.2070,ok,0.0103
177,62.7952,0.2022,ok,0.0114
178,62.8452,0.2002,ok,0.0107
179,62.8590,0.1994,ok,0.0108
180,62.8969,0.1791,ok,0.0138
181,62.9084,0.1693,ok,0.0106
182,63.0246,0.1807,ok,0.0115
183,63.0474,0.1871,ok,0.0122
184,63.1200,0.1835,ok,0.0131
185,63.1432,0.1815,ok,0.0107
186,63.1910,0.1871,ok,0.0105
187,63.2027,0.1823,ok,0.0111
188,63.2149,0.1756,ok,0.0102
189,63.3083,0.1913,ok,0.0107
190,63.3445,0.1981,ok,0.0116
191,63.3686,0.1909,ok,0.0109
192,63.3924,0.1856,ok,0.0247
193,63.4041,0.1739,ok,0.0144
194,63.4981,0.1668,ok,0.0107
195,63.5107,0.1677,ok,0.0113
196,63.5937,0.1791,ok,0.0119
197,63.6651,0.2002,ok,0.0116
198,63.6900,0.1989,ok,0.0101
199,63.7246,0.2085,ok,0.0101
200,63.7366,0.2022,ok,0.0099
201,63.7836,0.1981,ok,0.0134
202,63.8075,0.1892,ok,0.0102
203,63.8301,0.1834,ok,0.0103
204,63.8424,0.1784,ok,0.0114
205,63.8783,0.1713,ok,0.0120
206,63.8902,0.1688,ok,0.0099
207,63.9021,0.1727,ok,0.0122
208,64.0471,0.2209,ok,0.0101
209,64.0591,0.2146,ok,0.0099
210,64.0721,0.2093,ok,0.0137
211,64.0831,0.2019,ok,0.0119
212,64.1196,0.1955,ok,0.0103
213,64.1440,0.1955,ok,0.0102
214,64.1666,0.1897,ok,0.0104
215,64.1902,0.1881,ok,0.0095
216,64.2029,0.1899,ok,0.0104
217,64.2145,0.1840,ok,0.0107
218,64.2263,0.1775,ok,0.0107
219,64.3207,0.1722,ok,0.0092
220,64.3686,0.1788,ok,0.0111
221,64.3808,0.1719,ok,0.0101
222,64.4050,0.1660,ok,0.0104
223,64.4984,0.1859,ok,0.0094
224,64.5106,0.1813,ok,0.0105
225,64.6055,0.1974,ok,0.0138
226,64.6174,0.1893,ok,0.0112
227,64.6298,0.1826,ok,0.0111
228,64.6651,0.1761,ok,0.0117
229,64.6898,0.1677,ok,0.0099
230,64.7016,0.1630,ok,0.0114
231,64.7244,0.1530,ok,0.0092
232,64.8786,0.1525,ok,0.0104
233,64.9142,0.1468,ok,0.0100
234,65.0904,0.1812,ok,0.0157
235,65.1125,0.1736,ok,0.0116
236,65.1572,0.1744,ok,0.0105
237,65.2465,0.1900,ok,0.0133
238,65.2579,0.1825,ok,0.0118
239,65.3024,0.1898,ok,0.0131
240,65.3364,0.1819,ok,0.0104
241,65.3595,0.1813,ok,0.0094
242,65.3707,0.1772,ok,0.0115
243,65.4378,0.1813,ok,0.0109
244,65.4610,0.1744,ok,0.0105
245,65.5267,0.1665,ok,0.0102
246,65.5602,0.1614,ok,0.0128
247,65.6055,0.1580,ok,0.0117
248,65.7281,0.1542,ok,0.0106
249,65.7852,0.1545,ok,0.0099
250,65.8963,0.1589,ok,0.0114
251,66.0113,0.1884,ok,0.0115
252,66.0226,0.1882,ok,0.0113
253,66.0458,0.1882,ok,0.0106
254,66.0672,0.1849,ok,0.0113
255,66.0797,0.1778,ok,0.0105
256,66.1688,0.1862,ok,0.0121
257,66.2016,0.1839,ok,0.0105
258,66.2244,0.1837,ok,0.0108
259,66.2695,0.1766,ok,0.0105
260,66.2801,0.1731,ok,0.0150
261,66.3706,0.1612,ok,0.0129
262,66.3921,0.1585,ok,0.0104
263,66.5378,0.1995,ok,0.0105
264,66.5495,0.1935,ok,0.0101
265,66.5826,0.1959,ok,0.0116
266,66.5941,0.1881,ok,0.0095
267,66.6055,0.1825,ok,0.0099
268,66.6725,0.1929,ok,0.0108
269,66.6845,0.1865,ok,0.0104
270,66.7174,0.1990,ok,0.0123
271,66.7515,0.1984,ok,0.0102
272,66.7853,0.1926,ok,0.0142
273,66.8079,0.1849,ok,0.0126
274,66.8747,0.1759,ok,0.0116
275,66.8967,0.1742,ok,0.0105
276,66.9072,0.1672,ok,0.0108
277,66.9191,0.1617,ok,0.0102
278,67.0570,0.1711,ok,0.0102
279,67.0791,0.1651,ok,0.0105
280,67.1245,0.1589,ok,0.0100
281,67.1798,0.1536,ok,0.0104
282,67.3145,0.1501,ok,0.0100
283,67.4155,0.1810,ok,0.0109
284,67.4497,0.1807,ok,0.0095
285,67.4823,0.1770,ok,0.0112
286,67.5495,0.1751,ok,0.0095
287,67.5602,0.1698,ok,0.0141
288,67.6164,0.1833,ok,0.0120
289,67.6845,0.2027,ok,0.0112
290,67.7407,0.2061,ok,0.0112
291,67.7626,0.1991,ok,0.0093
292,67.7731,0.1942,ok,0.0099
293,67.7860,0.1888,ok,0.0100
294,67.8073,0.1825,ok,0.0094
295,67.8186,0.1784,ok,0.0117
296,67.8528,0.1775,ok,0.0109
297,67.8639,0.1701,ok,0.0097
298,67.8852,0.1709,ok,0.0115
299,68.0126,0.1780,ok,0.0106
300,68.0351,0.1718,ok,0.0102
301,68.0838,0.1744,ok,0.0127
302,68.1313,0.1733,ok,0.0126
303,68.1559,0.1663,ok,0.0103
304,68.2268,0.1628,ok,0.0098
305,68.2962,0.1704,ok,0.0097
306,68.3803,0.1994,ok,0.0111
307,68.4164,0.2026,ok,0.0113
308,68.4288,0.2026,ok,0.0107
309,68.4631,0.2033,ok,0.0119
310,68.4751,0.1949,ok,0.0095
311,68.4877,0.1902,ok,0.0108
312,68.4984,0.1897,ok,0.0114
313,68.5222,0.1839,ok,0.0105
314,68.5938,0.1839,ok,0.0137
315,68.6170,0.1752,ok,0.0116
316,68.6297,0.1679,ok,0.0105
317,68.6777,0.1671,ok,0.0115
318,68.7487,0.1636,ok,0.0103
