idx,t_rel_s,latency_s,status,ttft_s
158,66.0014,0.0900,ok,0.0099
159,66.0599,0.0916,ok,0.0116
160,66.1183,0.0681,ok,0.0122
161,66.1765,0.1090,ok,0.0113
162,66.2354,0.0872,ok,0.0116
163,66.2945,0.0484,ok,0.0123
164,66.3531,0.0846,ok,0.0099
165,66.4123,0.0535,ok,0.0113
166,66.4719,0.0532,ok,0.0103
167,66.5293,0.0841,ok,0.0096
168,66.5885,0.1205,ok,0.0178
169,66.6471,0.0584,ok,0.0120
170,66.7067,0.0894,ok,0.0111
171,66.7653,0.0854,ok,0.0116
172,66.8242,0.0762,ok,0.0108
173,66.9417,0.0876,ok,0.0103
174,67.0003,0.0900,ok,0.0116
175,67.1185,0.1049,ok,0.0119
176,67.1770,0.1117,ok,0.0113
177,67.2354,0.0930,ok,0.0093
178,67.2946,0.0726,ok,0.0093
179,67.3534,0.0620,ok,0.0103
180,67.4716,0.0500,ok,0.0100
181,67.5298,0.0998,ok,0.0095
182,67.5885,0.0920,ok,0.0131
183,67.6478,0.0468,ok,0.0117
184,67.7070,0.0623,ok,0.0102
185,67.8245,0.0818,ok,0.0101
186,67.8829,0.0437,ok,0.0094
187,67.9418,0.0573,ok,0.0097
188,68.0002,0.0489,ok,0.0087
189,68.0632,0.0995,ok,0.0093
190,68.1260,0.0663,ok,0.0121
191,68.2506,0.0878,ok,0.0107
192,68.3121,0.0905,ok,0.0105
193,68.3756,0.1034,ok,0.0093
194,68.4385,0.0704,ok,0.0108
195,68.5004,0.0622,ok,0.0096
196,68.6259,0.0931,ok,0.0130
197,68.6889,0.0877,ok,0.0109
198,68.8138,0.0605,ok,0.0102
199,68.8755,0.0807,ok,0.0088
200,68.9383,0.0832,ok,0.0109
201,69.0003,0.0986,ok,0.0106
202,69.0620,0.0952,ok,0.0144
203,69.1254,0.1141,ok,0.0123
204,69.1884,0.0530,ok,0.0105
205,69.2515,0.0463,ok,0.0095
206,69.3130,0.0755,ok,0.0094
207,69.3757,0.0956,ok,0.0094
208,69.4383,0.0533,ok,0.0103
209,69.5018,0.0573,ok,0.0096
210,69.5622,0.0743,ok,0.0107
211,69.6257,0.0644,ok,0.0122
212,69.6885,0.0758,ok,0.0093
213,69.7502,0.0452,ok,0.0106
214,69.8125,0.0901,ok,0.0096
215,69.8753,0.0807,ok,0.0116
216,69.9384,0.0565,ok,0.0107
217,70.0010,0.0695,ok,0.0088
218,70.0672,0.0702,ok,0.0135
219,70.1338,0.0927,ok,0.0118
220,70.2001,0.0844,ok,0.0105
