idx,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s
0,0.0006473509129136801,0.6406825920566916,ok,0.0250650430098176,0.007792431304136975,0.012234433786943555
1,0.07206006092019379,0.6488078418187797,ok,0.030214780941605568,0.007830098188847681,0.012240203097462654
2,0.14295081701129675,0.6511404130142182,ok,0.02881338493898511,0.007877331330216949,0.013120064046233892
3,0.2150206968653947,0.6516331699676812,ok,0.02746700611896813,0.007900681340760446,0.013120688032358885
4,0.2865394640248269,0.6522137790452689,ok,0.02624795399606228,0.007923480482842726,0.013146773912012577
5,0.3576944258529693,0.6630450510419905,ok,0.0333926419261843,0.00797013134424445,0.013144660042598844
6,0.42946537397801876,0.6618928380776197,ok,0.03278728714212775,0.007963228493315887,0.013121641939505935
7,0.500517139909789,0.6615211039315909,ok,0.03264440200291574,0.007960333264892615,0.01314736483618617
8,0.5724080807995051,0.6617569539230317,ok,0.03194042178802192,0.00797209197572798,0.013132665073499084
9,0.6435438159387559,0.6612628689035773,ok,0.0331174498423934,0.007951051621591742,0.01311923610046506
10,0.7148383359890431,0.6512051979079843,ok,0.029666607966646552,0.00786743068454575,0.01221250998787582
11,0.7858291929587722,0.6523540709167719,ok,0.028843624982982874,0.0078923779751964,0.01215722318738699
12,0.8573553278110921,0.6529714018106461,ok,0.029483083868399262,0.00789210874634453,0.012212458997964859
13,0.9294347069226205,0.653265830129385,ok,0.029468937078490853,0.007896011026246073,0.012211848050355911
14,1.0003064358606935,0.6545419080648571,ok,0.02972431108355522,0.007908941606130404,0.01221232395619154
15,1.0724635568913072,0.6545232348144054,ok,0.028045624028891325,0.007929961860203479,0.012200043071061373
16,1.1430103029124439,0.6559651622083038,ok,0.028830658178776503,0.007938261252910465,0.012212436180561781
17,1.2144470040220767,0.6570158929098397,ok,0.02845792705193162,0.007956229061878558,0.011530584888532758
18,1.2867208668030798,0.6598931341432035,ok,0.027672673109918833,0.008002631823072516,0.011737655149772763
19,1.3580556199885905,0.6567131120245904,ok,0.028416703920811415,0.007953007785084693,0.011805570917204022
20,1.4290345078334212,0.6522202859632671,ok,0.029692223062738776,0.007879957315052234,0.011781339067965746
21,1.5001159738749266,0.6473364238627255,ok,0.03085891786031425,0.007803378329034659,0.011738099856302142
22,1.5722588410135359,0.6409967660438269,ok,0.03081017406657338,0.0077237766707622555,0.011805411893874407
23,1.64344568294473,0.635452195070684,ok,0.03175027295947075,0.007641682684232917,0.011782194022089243
24,1.7146604619920254,0.6295789999421686,ok,0.03278140886686742,0.007554252911948517,0.011779661988839507
25,1.7866788660176098,0.6226690330076963,ok,0.03275795513764024,0.007467100974408131,0.01180346799083054
26,1.8573813159018755,0.6168360929004848,ok,0.034762307070195675,0.00736788919054066,0.011780320899561048
