timestamp,epoch,batch_idx,batch_tokens,batch_loss,total_processed_tokens
2026-05-27T08:27:42.148,0,1,254,1.1638148613126853,254
2026-05-27T08:27:42.315,0,2,14,4.511539752666767,268
2026-05-27T08:27:42.483,0,3,233,1.7929400739998653,501
2026-05-27T08:27:42.639,0,4,231,1.1886532990828804,732
2026-05-27T08:27:42.797,0,5,227,2.819585479466261,959
2026-05-27T08:27:42.962,0,6,207,2.595020479368932,1166
2026-05-27T08:27:43.119,0,7,200,2.7538243586094535,1366
2026-05-27T08:27:43.287,0,8,216,1.5654137899709302,1582
2026-05-27T08:27:43.448,0,9,215,2.9668638995874708,1797
2026-05-27T08:27:43.603,0,10,213,3.8343934832878834,2010
2026-05-27T08:27:43.760,0,11,210,1.4619315845544258,2220
2026-05-27T08:27:43.913,0,12,210,0.5358841818485534,2430
2026-05-27T08:27:44.069,0,13,209,1.4662581223707933,2639
2026-05-27T08:27:44.222,0,14,209,1.5402096968430738,2848
2026-05-27T08:27:44.382,0,15,208,3.0850765209842996,3056
2026-05-27T08:27:44.536,0,16,207,1.7446009071127881,3263
2026-05-27T08:27:44.716,0,17,224,1.039373999243384,3487
2026-05-27T08:27:44.891,0,18,224,2.699407079198339,3711
2026-05-27T08:27:45.064,0,19,224,1.4222550950608812,3935
2026-05-27T08:27:45.234,0,20,224,1.966260205518018,4159
2026-05-27T08:27:45.408,0,21,224,2.897862889745214,4383
2026-05-27T08:27:47.973,0,22,32,2.1421435038248697,4415
2026-05-27T08:27:48.151,0,23,224,2.36172155431799,4639
2026-05-27T08:27:48.326,0,24,224,1.5634861851597692,4863
2026-05-27T08:27:48.498,0,25,224,1.710370312939893,5087
2026-05-27T08:27:48.673,0,26,224,2.676548313450169,5311
2026-05-27T08:27:48.848,0,27,224,3.6954648129574887,5535
2026-05-27T08:27:49.019,0,28,224,2.028600194432714,5759
2026-05-27T08:27:49.191,0,29,224,2.5655382860888234,5983
2026-05-27T08:27:49.367,0,30,224,3.190349956890484,6207
2026-05-27T08:27:49.539,0,31,208,3.355006542020631,6415
2026-05-27T08:27:49.712,0,32,224,3.2265039392419763,6639
2026-05-27T08:27:49.883,0,33,224,2.0905301205746762,6863
2026-05-27T08:27:50.052,0,34,224,1.1642357078758445,7087
2026-05-27T08:27:50.221,0,35,224,2.009192114477759,7311
2026-05-27T08:27:50.391,0,36,224,1.6563506255278717,7535
2026-05-27T08:27:50.561,0,37,224,3.2828369140625,7759
2026-05-27T08:27:50.732,0,38,224,3.39709692602759,7983
