idx,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s
0,0.0006228869315236807,0.7028600010089576,ok,0.032707774080336094,0.008482753797257436,0.012503138044849038
1,0.07196683180518448,0.7016318070236593,ok,0.030276098987087607,0.008497984290028675,0.012634614948183298
2,0.14369337493553758,0.7028912110254169,ok,0.03452568897046149,0.008460164202754444,0.012632590951398015
3,0.21514124586246908,0.6963128589559346,ok,0.030729989055544138,0.008424947453851375,0.012615207117050886
4,0.28595595993101597,0.6977415310684592,ok,0.035628898069262505,0.00838098306314949,0.012636233121156693
5,0.3579086158424616,0.6912161628715694,ok,0.031793639063835144,0.008346963544152205,0.012625642819330096
6,0.4295203248038888,0.691911380039528,ok,0.036360027035698295,0.00829798763299573,0.01261567696928978
7,0.500323471846059,0.6862505781464279,ok,0.034270440926775336,0.008252782761885584,0.012614885810762644
8,0.5716172088868916,0.6799489159602672,ok,0.03172910981811583,0.008205058165130358,0.012927031144499779
9,0.6436078648548573,0.6804575470741838,ok,0.03614855790510774,0.008155628635041132,0.01292743906378746
10,0.7147392318584025,0.6733392849564552,ok,0.035196054028347135,0.008077581242151275,0.012988859787583351
11,0.7858391248155385,0.663968768902123,ok,0.031031146878376603,0.008011712191650007,0.012928439071401954
12,0.8581249678973109,0.6629255248699337,ok,0.030697953887283802,0.008002712721405904,0.012931483099237084
13,0.9291814758908004,0.6632163089234382,ok,0.03209422109648585,0.007988737695673598,0.01299135317094624
14,1.000392793910578,0.6633470950182527,ok,0.03329497412778437,0.007975188543713546,0.012929636985063553
15,1.07195810880512,0.6532746001612395,ok,0.027194256195798516,0.007924829871994974,0.012930526165291667
16,1.143374650971964,0.6546280831098557,ok,0.028613580157980323,0.007924072226344408,0.012991721043363214
17,1.2144479018170387,0.6551125631667674,ok,0.029234613059088588,0.007922362088213992,0.012465740088373423
18,1.2865645519923419,0.6550096059218049,ok,0.029382018838077784,0.007919194318259819,0.012482273858040571
19,1.3577837490011007,0.6556934390682727,ok,0.030215842882171273,0.00791727107819877,0.012188751017674804
20,1.4291462099645287,0.6504250820726156,ok,0.030001308070495725,0.00785335552984778,0.01218956895172596
21,1.5005174749530852,0.6451541769783944,ok,0.029676070902496576,0.00779076454323964,0.012180157005786896
22,1.5716610657982528,0.6396526179742068,ok,0.030345538863912225,0.007712655898207162,0.012178252916783094
23,1.6429744469933212,0.6340808859094977,ok,0.030305746011435986,0.007642628722293656,0.011280057951807976
24,1.7145702228881419,0.6273708641529083,ok,0.03150091506540775,0.007542577203764002,0.011339032091200352
25,1.7864406979642808,0.6207607020623982,ok,0.031871997052803636,0.0074541886083640254,0.011257077101618052
26,1.8581926198676229,0.613964268937707,ok,0.03192764311097562,0.007367463617385188,0.01071990979835391
27,1.929240362951532,0.6081071919761598,ok,0.03294626879505813,0.00728043009043683,0.009165678871795535
28,6.002446888945997,0.996305035892874,ok,0.31541522894985974,0.008618634164663432,0.013084950158372521
29,6.07236586487852,0.9357667819131166,ok,0.252187036909163,0.00865280582522384,0.013055650983005762
30,6.143114459933713,0.8650754459667951,ok,0.1814228449948132,0.008653756811672563,0.013057475909590721
31,6.215670763980597,0.7923780628480017,ok,0.10887996898964047,0.008651742859024413,0.013059182092547417
32,6.286137090995908,0.7331754129845649,ok,0.05068932380527258,0.008638898506053264,0.013060987927019596
33,6.357262617908418,0.7093250330071896,ok,0.032622740138322115,0.008565694733251687,0.013055749936029315
34,6.429411551915109,0.7093469710089266,ok,0.03606280987150967,0.008522418810974193,0.013057903153821826
35,6.500762404873967,0.7028863299638033,ok,0.032125490019097924,0.008490474747281663,0.013062315993010998
36,6.572119321906939,0.6964467328507453,ok,0.03056640294380486,0.008428712658395496,0.013053645845502615
37,6.643915593856946,0.6968609320465475,ok,0.03526092297397554,0.008374537582968987,0.013084657024592161
38,6.714888426940888,0.6910800309851766,ok,0.0334527010563761,0.008324233921174007,0.013060049153864384
39,6.786410297965631,0.6915049289818853,ok,0.04014300787821412,0.00824492965836691,0.012482307152822614
40,6.857970230979845,0.6782879750244319,ok,0.031306653982028365,0.008189495101783283,0.012448450084775686
41,6.92915094899945,0.6791946419980377,ok,0.03766165510751307,0.008120519834087242,0.012194382958114147
42,7.001015299931169,0.6613991840276867,ok,0.02917935699224472,0.008002643962685444,0.012219505850225687
43,7.071799261961132,0.66177949286066,ok,0.03006508992984891,0.007996224329653608,0.0122174930293113
44,7.142968815984204,0.6615788228809834,ok,0.031005302909761667,0.00798179215126777,0.012193595059216022
45,7.215171857969835,0.6604768098331988,ok,0.03063299087807536,0.007972547457305879,0.012195254908874631
46,7.286188708851114,0.6608664779923856,ok,0.03210985497571528,0.007958778483745984,0.012204305035993457
47,7.357510655885562,0.6578369031194597,ok,0.03342725499533117,0.00790375987468641,0.011927845887839794
