idx,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s
0,0.0004905969835817814,0.7687218789942563,ok,0.23210462694987655,0.00679240091055443,0.015212061814963818
1,0.07181363319978118,0.7048940560780466,ok,0.16592194698750973,0.006822352987254345,0.015220604836940765
2,0.14305662596598268,0.6336274091154337,ok,0.09469456830993295,0.006821811694321753,0.015219622757285833
3,0.215195057913661,0.5615870729088783,ok,0.02252536779269576,0.006823482846581861,0.015210970770567656
4,0.2862343620508909,0.5586662441492081,ok,0.01956637529656291,0.006823948248513514,0.015199842862784863
5,0.35771471029147506,0.5625095190480351,ok,0.02255077287554741,0.006834790075221394,0.015200214926153421
6,0.429122107103467,0.5595964533276856,ok,0.018847748171538115,0.006844800720109215,0.01519747730344534
7,0.5009281053207815,0.5630227010697126,ok,0.021460024174302816,0.006855076821403036,0.015219775959849358
8,0.5724414102733135,0.5666583967395127,ok,0.027256884146481752,0.006827756974704658,0.008377174381166697
9,0.64390136487782,0.5636435062624514,ok,0.02244210196658969,0.006850524074574814,0.00839916430413723
10,0.7152315122075379,0.5676928400062025,ok,0.025464056991040707,0.006863544311940293,0.008468924555927515
11,0.7864051749929786,0.564982560928911,ok,0.023427640087902546,0.006855016780569207,0.008512192871421576
12,0.8573801512829959,0.5623605470173061,ok,0.021080397069454193,0.006851530439350047,0.008466474711894989
13,0.9290890959091485,0.5656313290819526,ok,0.024505128152668476,0.006849582819857552,0.008525358978658915
14,1.0006426302716136,0.5626317709684372,ok,0.021492594853043556,0.006849742129067832,0.008511402644217014
15,1.0718561159446836,0.5665808171033859,ok,0.025447152089327574,0.006849684457801566,0.008511333726346493
16,1.1432388061657548,0.563593327999115,ok,0.022541054990142584,0.006848662042448037,0.008528213948011398
17,1.2144458200782537,0.5605353843420744,ok,0.019841601140797138,0.0068439624826364875,0.008464808110147715
18,1.2860800912603736,0.5640847259201109,ok,0.02349882200360298,0.006842750289677819,0.008288268931210041
19,1.3571919999085367,0.5614902228116989,ok,0.020937868859618902,0.006842330139413287,0.00829367432743311
20,1.4286521342583,0.5651501743122935,ok,0.02448563603684306,0.006843750530122956,0.008331992197781801
21,1.5005896100774407,0.5608016340993345,ok,0.020861835218966007,0.006834580115030838,0.00862373923882842
22,1.572217877022922,0.563542690128088,ok,0.0244672242552042,0.006823656084369632,0.008631542790681124
23,1.6435489379800856,0.5598951270803809,ok,0.021541132126003504,0.006814449312330424,0.008611867669969797
24,1.7148191989399493,0.5624666670337319,ok,0.02517810370773077,0.006801033103720674,0.008604520931839943
